task,SINGLE_pass,MULTI_pass,improved,regressed,tokens_S,tokens_M,token_delta,lines_S,lines_M,line_delta
084,True,True,False,False,437,3730,3293,6,6,0
138,True,True,False,False,368,3343,2975,4,4,0
092,True,True,False,False,471,3502,3031,8,8,0
143,True,True,False,False,578,4333,3755,23,22,-1
006,False,False,False,False,605,4178,3573,25,25,0
114,True,True,False,False,466,3850,3384,16,12,-4
051,True,True,False,False,428,3432,3004,6,6,0
102,True,True,False,False,466,4195,3729,18,13,-5
047,True,True,False,False,446,3672,3226,14,17,3
155,True,True,False,False,474,3749,3275,22,19,-3
010,False,True,True,False,507,4567,4060,10,30,20
067,True,True,False,False,542,4184,3642,13,14,1
122,True,True,False,False,482,3803,3321,14,13,-1
088,True,True,False,False,564,3871,3307,14,12,-2
030,True,True,False,False,392,3216,2824,4,4,0
026,False,True,True,False,431,3812,3381,16,17,1
163,True,True,False,False,438,3724,3286,8,5,-3
071,True,True,False,False,527,4400,3873,13,13,0
134,True,True,False,False,519,3736,3217,18,11,-7
118,True,True,False,False,539,4144,3605,12,25,13
159,True,True,False,False,605,4125,3520,10,8,-2
158,True,True,False,False,509,4117,3608,17,15,-2
119,True,True,False,False,663,4532,3869,31,29,-2
070,True,True,False,False,520,4316,3796,24,25,1
135,True,True,False,False,456,3629,3173,10,13,3
027,True,True,False,False,349,3131,2782,5,7,2
162,True,True,False,False,423,3193,2770,16,15,-1
031,True,True,False,False,452,4032,3580,14,15,1
066,True,True,False,False,459,3571,3112,14,12,-2
123,True,True,False,False,636,4395,3759,12,11,-1
089,True,True,False,False,492,3660,3168,16,18,2
154,True,True,False,False,496,4357,3861,16,10,-6
011,True,True,False,False,387,3540,3153,4,5,1
103,True,True,False,False,544,3801,3257,17,12,-5
046,True,True,False,False,597,4606,4009,20,23,3
115,True,True,False,False,693,4928,4235,15,17,2
050,True,True,False,False,398,3190,2792,4,12,8
142,True,True,False,False,536,4043,3507,14,14,0
007,False,False,False,False,406,3371,2965,4,3,-1
139,True,True,False,False,453,4212,3759,15,15,0
093,True,True,False,False,561,4333,3772,20,21,1
085,True,True,False,False,400,3877,3477,14,11,-3
061,True,True,False,False,485,4197,3712,20,21,1
124,True,True,False,False,845,5238,4393,41,37,-4
036,True,True,False,False,426,4037,3611,10,11,1
020,False,True,True,False,596,4301,3705,20,26,6
077,True,True,False,False,459,3774,3315,12,7,-5
098,True,True,False,False,464,3511,3047,17,13,-4
132,True,True,False,False,587,4127,3540,25,16,-9
149,True,True,False,False,515,3931,3416,9,7,-2
108,True,True,False,False,491,3893,3402,12,16,4
082,True,True,False,False,438,3193,2755,16,15,-1
128,True,True,False,False,571,3745,3174,27,23,-4
094,True,True,False,False,755,5011,4256,30,26,-4
145,True,True,False,False,455,3499,3044,8,11,3
000,False,False,False,False,474,4056,3582,12,10,-2
112,True,True,False,False,534,3819,3285,13,7,-6
057,True,True,False,False,436,3756,3320,14,7,-7
104,True,True,False,False,449,3463,3014,14,15,1
041,True,True,False,False,468,3489,3021,5,3,-2
153,True,True,False,False,697,4725,4028,22,30,8
016,True,True,False,False,393,3124,2731,8,4,-4
152,True,True,False,False,556,3627,3071,12,7,-5
017,False,True,True,False,575,3816,3241,22,22,0
105,True,True,False,False,702,4841,4139,21,18,-3
040,True,True,False,False,653,4914,4261,30,31,1
113,True,True,False,False,530,4233,3703,10,12,2
056,True,True,False,False,488,3827,3339,20,17,-3
