task,MULTI,SINGLE,improved,regressed,tie_pass,tie_fail
0,False,False,False,False,False,True
1,True,False,True,False,False,False
10,True,False,True,False,False,False
100,True,True,False,False,True,False
101,True,True,False,False,True,False
102,True,True,False,False,True,False
103,True,True,False,False,True,False
104,True,True,False,False,True,False
105,True,True,False,False,True,False
106,True,True,False,False,True,False
107,True,True,False,False,True,False
108,True,True,False,False,True,False
109,True,True,False,False,True,False
11,True,True,False,False,True,False
110,True,True,False,False,True,False
111,True,False,True,False,False,False
112,True,True,False,False,True,False
113,True,True,False,False,True,False
114,True,True,False,False,True,False
115,True,True,False,False,True,False
116,True,True,False,False,True,False
117,True,True,False,False,True,False
118,True,True,False,False,True,False
119,True,True,False,False,True,False
12,True,False,True,False,False,False
120,True,True,False,False,True,False
121,True,True,False,False,True,False
122,True,True,False,False,True,False
123,True,True,False,False,True,False
124,True,True,False,False,True,False
125,True,True,False,False,True,False
126,True,True,False,False,True,False
127,True,True,False,False,True,False
128,True,True,False,False,True,False
129,True,True,False,False,True,False
13,True,True,False,False,True,False
130,True,True,False,False,True,False
131,True,True,False,False,True,False
132,True,True,False,False,True,False
133,True,True,False,False,True,False
134,True,True,False,False,True,False
135,True,True,False,False,True,False
136,True,True,False,False,True,False
137,True,True,False,False,True,False
138,True,True,False,False,True,False
139,True,True,False,False,True,False
14,False,False,False,False,False,True
140,True,True,False,False,True,False
141,True,True,False,False,True,False
142,True,True,False,False,True,False
143,True,True,False,False,True,False
144,True,True,False,False,True,False
145,True,True,False,False,True,False
146,True,True,False,False,True,False
147,True,True,False,False,True,False
148,True,True,False,False,True,False
149,True,True,False,False,True,False
15,True,True,False,False,True,False
150,True,True,False,False,True,False
151,True,True,False,False,True,False
152,True,True,False,False,True,False
153,True,True,False,False,True,False
154,True,True,False,False,True,False
155,True,True,False,False,True,False
156,True,True,False,False,True,False
157,True,True,False,False,True,False
158,True,True,False,False,True,False
159,True,True,False,False,True,False
16,True,True,False,False,True,False
160,True,True,False,False,True,False
161,True,True,False,False,True,False
162,True,True,False,False,True,False
163,True,True,False,False,True,False
17,True,False,True,False,False,False
18,True,True,False,False,True,False
19,True,True,False,False,True,False
2,True,True,False,False,True,False
20,True,False,True,False,False,False
21,False,False,False,False,False,True
22,True,False,True,False,False,False
23,True,True,False,False,True,False
24,True,True,False,False,True,False
25,True,False,True,False,False,False
26,True,False,True,False,False,False
27,True,True,False,False,True,False
28,True,False,True,False,False,False
29,True,False,True,False,False,False
3,False,False,False,False,False,True
30,True,True,False,False,True,False
31,True,True,False,False,True,False
32,True,True,False,False,True,False
33,True,True,False,False,True,False
34,True,True,False,False,True,False
35,True,True,False,False,True,False
36,True,True,False,False,True,False
37,True,True,False,False,True,False
38,True,True,False,False,True,False
39,True,True,False,False,True,False
4,True,False,True,False,False,False
40,True,True,False,False,True,False
41,True,True,False,False,True,False
42,True,True,False,False,True,False
43,True,True,False,False,True,False
44,True,True,False,False,True,False
45,True,True,False,False,True,False
46,True,True,False,False,True,False
47,True,True,False,False,True,False
48,True,True,False,False,True,False
49,True,True,False,False,True,False
5,True,False,True,False,False,False
50,True,True,False,False,True,False
51,True,True,False,False,True,False
52,True,True,False,False,True,False
53,True,True,False,False,True,False
54,True,True,False,False,True,False
55,True,True,False,False,True,False
56,True,True,False,False,True,False
57,True,True,False,False,True,False
58,True,True,False,False,True,False
59,True,True,False,False,True,False
6,False,False,False,False,False,True
60,True,True,False,False,True,False
61,True,True,False,False,True,False
62,True,True,False,False,True,False
63,True,True,False,False,True,False
64,True,True,False,False,True,False
65,True,True,False,False,True,False
66,True,True,False,False,True,False
67,True,True,False,False,True,False
68,True,True,False,False,True,False
69,True,True,False,False,True,False
7,False,False,False,False,False,True
70,True,True,False,False,True,False
71,True,True,False,False,True,False
72,True,True,False,False,True,False
73,True,True,False,False,True,False
74,True,True,False,False,True,False
75,True,True,False,False,True,False
76,True,True,False,False,True,False
77,True,True,False,False,True,False
78,True,True,False,False,True,False
79,True,True,False,False,True,False
8,True,False,True,False,False,False
80,True,True,False,False,True,False
81,True,True,False,False,True,False
82,True,True,False,False,True,False
83,True,True,False,False,True,False
84,True,True,False,False,True,False
85,True,True,False,False,True,False
86,True,True,False,False,True,False
87,True,True,False,False,True,False
88,True,True,False,False,True,False
89,True,True,False,False,True,False
9,True,False,True,False,False,False
90,True,True,False,False,True,False
91,True,True,False,False,True,False
92,True,True,False,False,True,False
93,True,True,False,False,True,False
94,True,True,False,False,True,False
95,True,True,False,False,True,False
96,True,True,False,False,True,False
97,True,True,False,False,True,False
98,True,True,False,False,True,False
99,True,True,False,False,True,False
